Original	Salva	Casimir	Type	Subtype	Characteristic
sertoli cell	sertoli cell	sertoli 	sertoli		
sinusoidal endothelial cell	endothelial cell	sinusoidal endothelial 	endothelial	sinusoidal	
smooth muscle cell	smooth muscle cell	smooth muscle 	muscle	smooth	
spermatocyte	spermatocyte	spermatocyte	spermatocyte		
s-shaped body cell	s-shaped body cell	s-shaped_body 	s-shaped_body		
s-shaped body medial cell	s-shaped body medial cell	s-shaped_body_medial 	s-shaped_body	medial	
stomach fundus cell	stomach fundus cell	stomach_fundus 	stomach_fundus		
striated muscle cell	striated muscle cell	striated muscle	muscle	striated	
stromal cell	stromal cell	stromal 	stromal		
superficial cell	superficial cell	superficial 	superficial		
sympathetic neuron	sympathetic neuron	sympathetic neuron	neuron	sympathetic	
syncytiotrophoblast	syncytiotrophoblast cell	syncytiotrophoblast 	syncytiotrophoblast		
syncytiotrophoblast cell	syncytiotrophoblast cell	syncytiotrophoblast 	syncytiotrophoblast		
t cell	t cell	t 	t		
tendon cell	tendon cell	tendon 	tendon		
theca cell	theca cell	theca 	theca		
thyroid follicular cell	thyroid follicular cell	thyroid follicular 	follicular	thyroid	
treg cell	treg cell	treg 	treg		
unknown	unknown	unknown	unknown		
unknown epithelial cell	epithelial cell	epithelial 	epithelial		
ureteric bud cell	ureteric bud cell	bud ureteric	ureteric	bud	
ureteric epithelial cell	epithelial cell	ureteric epithelial 	epithelial	ureteric	
ureteric smooth muscle cell	muscle cell	muscle 	muscle		
urothelial cell	urothelial cell	urothelial 	urothelial		
vascular endothelial cell	endothelial cell	vascular endothelial 	endothelial	vascular	
vascular epithelial cell	epithelial cell	vascular epithelial	epithelial	vascular	
vascular smooth muscle cell	muscle cell	vascular smooth muscle	muscle	smooth	vascular
ventricle cardiomyocyte	ventricle cardiomyocyte	ventricle cardiomyocyte	cardiomyocyte	ventricle	
villous trophoblast cell	trophoblast cell	villous trophoblast	trophoblast	villous	
zona fasciculata cell	zona fasciculata cell	zona fasciculata 	fasciculata	zona	
acinar cell_clps high	acinar cell	acinar	acinar	clps high	
acinar cell_cpa1 high	acinar cell	acinar	acinar	cpa1 high	
acinar cell_cpa2 high	acinar cell	acinar	acinar	cpa2 high	
acinar cell_reg1b high	acinar cell	acinar	acinar	reg1b high	
acniar cell_anxa4 high	acinar cell	acinar	acinar	anxa4 high	
activative t cell	t cell	t cell	t	activative	
actived t cell	t cell	t cell	t	actived	
adrenocortical cell_nov high	adrenocortical cell	adrenocortical 	adrenocortical	nov high	
adrenocortical cell_tpm2 high			adrenocortical	tpm2 high	
arterial endothelial cell_gja5 high	endothelial cell		endothelial	arterial gja5 high	
atrial cardiomyocyte_mt high			cardiomyocyte	atrial mt high	
atrial cardiomyocyte_myh6 high			cardiomyocyte	atrial myh6 high	
atrial cardiomyocyte_nppa high			cardiomyocyte	atrial nppa high	
b cell (plasmocyte)_igha high			b	plasmocyte	igha high
b cell (plasmocyte)_igha/hg high			b	plasmocyte	igha/hg high
b cell (plasmocyte)_igha/hm high			b	plasmocyte	igha/hm high
b cell (plasmocyte)_igha/hm_igk high			b	plasmocyte	igk high
b cell (plasmocyte)_igha/hm_igl high			b	plasmocyte	igl high
b cell (plasmocyte)_igha_igk high			b	plasmocyte	igk high
b cell (plasmocyte)_igha_igl high			b	plasmocyte	igl high
b cell (plasmocyte)_ighg high			b	plasmocyte	ighg high
b cell (plasmocyte)_ighg/ha high			b	plasmocyte	ighg/ha high
b cell (plasmocyte)_ighg/ha_igk high			b	plasmocyte	igk high
